1: <7, 1>
2: <8, 93>
3: <9, 40>
4: <10, 41>
5: <11, 123>
6: <12, 125>
7: <13, 46>
8: <14, 38>
9: <15, 61>
10: <16, 42>
11: <17, 43>
12: <18, 45>
13: <19, 126>
14: <20, 33>
15: <21, 47>
16: <22, 37>
17: <23, 60>
18: <24, 62>
19: <25, 94>
20: <26, 124>
21: <27, 63>
22: <28, 58>
23: <29, 59>
24: <30, 44>
25: <31, auto>
26: <32, extrn>
27: <33, goto>
28: <34, if>
29: <35, return>
30: <36, switch>
31: <37, while>
32: <3, a>
33: <3, b>
34: <3, c>
35: <4, 100>
36: <6, 100>
37: <5, 1>
38: <31, auto>
38: <3, a>
38: <15, 61>
38: <4, 100>
38: <29, 59>
39: <31, auto>
39: <3, b>
39: <15, 61>
39: <6, 100>
39: <29, 59>
40: <31, auto>
40: <3, c>
40: <15, 61>
40: <5, 1>
40: <29, 59>
